year,medSold,zhvi,medRent
1996-04,115850,124200,NA
1996-05,120985,124700,NA
1996-06,126115,125000,NA
1996-07,128110,125500,NA
1996-08,126550,125900,NA
1996-09,124125,126500,NA
1996-10,124125,127300,NA
1996-11,124625,128100,NA
1996-12,124000,128800,NA
1997-01,121300,129600,NA
1997-02,120100,130600,NA
1997-03,126800,131300,NA
1997-04,126615,131700,NA
1997-05,128060,132100,NA
1997-06,127850,132400,NA
1997-07,126725,132600,NA
1997-08,127700,133100,NA
1997-09,129125,133800,NA
1997-10,131360,134500,NA
1997-11,134995,134900,NA
1997-12,129720,134900,NA
1998-01,123250,135000,NA
1998-02,128600,135500,NA
1998-03,132025,136200,NA
1998-04,131407.5,136600,NA
1998-05,128767.5,136600,NA
1998-06,130225,136200,NA
1998-07,133465,136100,NA
1998-08,135400.5,136300,NA
1998-09,130454.5,136900,NA
1998-10,128135,137500,NA
1998-11,133550,138100,NA
1998-12,134700,138500,NA
1999-01,130115,138600,NA
1999-02,128745.5,138700,NA
1999-03,130269.5,138800,NA
1999-04,130650,138900,NA
1999-05,129765,139200,NA
1999-06,133585,140000,NA
1999-07,137615,140400,NA
1999-08,138654.5,139800,NA
1999-09,135778.65,139000,NA
1999-10,134240.85,139200,NA
1999-11,131500,140200,NA
1999-12,135305,141000,NA
2000-01,138360,141700,NA
2000-02,139485,141900,NA
2000-03,139600,141500,NA
2000-04,142565,141400,NA
2000-05,136135,142100,NA
2000-06,136782.5,142800,NA
2000-07,136717.5,142900,NA
2000-08,141912.5,143000,NA
2000-09,141633.25,143100,NA
2000-10,140849.25,142600,NA
2000-11,139965,142300,NA
2000-12,138485,142600,NA
2001-01,136450,143100,NA
2001-02,137750,143100,NA
2001-03,140365,142900,NA
2001-04,138790,143200,NA
2001-05,140945,143600,NA
2001-06,144175,144300,NA
2001-07,142962.5,145200,NA
2001-08,141012.5,146200,NA
2001-09,141500,146600,NA
2001-10,138550,146000,NA
2001-11,140150,145600,NA
2001-12,140265,146100,NA
2002-01,144538,147400,NA
2002-02,142372.1,148500,NA
2002-03,140880.9,149400,NA
2002-04,142300,149800,NA
2002-05,142980,150000,NA
2002-06,149120.5,150000,NA
2002-07,153129.5,150400,NA
2002-08,151900,151100,NA
2002-09,151830,151900,NA
2002-10,153370,152700,NA
2002-11,157200,153400,NA
2002-12,155750,153700,NA
2003-01,151050,153900,NA
2003-02,152400,154600,NA
2003-03,153150,155800,NA
2003-04,152900,157000,NA
2003-05,159865,158100,NA
2003-06,162160,159100,NA
2003-07,166150,160000,NA
2003-08,166525,160800,NA
2003-09,168305,161900,NA
2003-10,165520,163500,NA
2003-11,166765,165300,NA
2003-12,163250.5,166900,NA
2004-01,164114.5,168300,NA
2004-02,161990,169700,NA
2004-03,163385,170900,NA
2004-04,166375,172300,NA
2004-05,172737.5,173800,NA
2004-06,177512.5,175300,NA
2004-07,178625,176900,NA
2004-08,178800,178400,NA
2004-09,176850,180100,NA
