Date,Make,Color,Amount.Due,Violation,Location,Meter,Officer.Comment
6/12/08,TOYT,SIL,0.00,TIME LIMIT ZONE,FERRY ST 16TH AVE 15TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,SUBA,GRN,0.00,TIME LIMIT ZONE,FERRY ST 16TH AVE 15TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,HOND,WHT,24.00,TIME LIMIT ZONE,15TH AVE MILL ST FERRY S,NA,CHALK MARK STILL VISIBLE
6/12/08,BUIC,BUR,0.00,TIME LIMIT ZONE,14TH AVE MILL ST FERRY S,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,VOLK,RED,0.00,TIME LIMIT ZONE,FERRY ST 15TH AVE 16TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,TOYT,BLU,0.00,TIME LIMIT ZONE,12TH AVE HIGH ST MILL ST,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,PLYM,BUR,0.00,TIME LIMIT ZONE,14TH AVE HIGH ST PEARL S,NA,CHALK MARK STILL VISIBLE
6/12/08,SUBA,GRN,0.00,METER VIOLATION,8TH AVE OLIVE ST WILLAME,32 36,NO TIME ON METER
6/12/08,TOYT,BLU,0.00,METER VIOLATION,HIGH ST 5TH AVE 6TH AVE,18 47,NO TIME ON METER
6/12/08,HOND,GRY,0.00,METER VIOLATION,EAST PARK-8,43 85,NO TIME ON METER
6/12/08,CHEV,WHT,0.00,ON BRIDGE,3500BLKCOMMONS,NA,SIGN(s)POSTEDNO PARKING
6/12/08,KIA,BLU,0.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17 5,NO TIME ON METER
6/12/08,LEXS,GRY,0.00,METER VIOLATION,PEARL ST 5TH AVE 6TH AVE,17 49,NO TIME ON METER
6/12/08,CHEV,RED,0.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17 5,NO TIME ON METER
6/12/08,DODG,WHT,0.00,METER VIOLATION,8TH AVE OLIVE ST WILLAME,41 2,NO TIME ON METER
6/12/08,OLDS,WHT,0.00,METER VIOLATION,8TH AVE CHARNELTON ST OL,31 34,NO TIME ON METER
6/12/08,MERC,GRN,0.00,METER VIOLATION,13TH AVE ALDER ST HILYAR,225-2,NO TIME ON METER
6/12/08,FORD,YEL,0.00,METER VIOLATION,13TH AVE ALDER ST HILYAR,225-9,NO TIME ON METER
6/12/08,SUBA,BLU,0.00,TIME LIMIT ZONE,17TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLEVEH MUST LEA
6/12/08,TRIU,BLU,24.00,TIME LIMIT ZONE,E/S PATTERSON ST 12TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,VOLV,GRN,12.00,TIME LIMIT ZONE,15TH AVE HILYARD ST PATT,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,HOND,BLK,0.00,TIME LIMIT ZONE,16TH AVE PATTERSON ST FE,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,HOND,GRY,0.00,TIME LIMIT ZONE,17TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLEVEH MUST LEA
6/12/08,FORD,GRY,0.00,YELLOW ZONE,17TH AVE ALDER ST HILYAR,NA,ALL IN YELLOWNOT A PARKING SPACE
6/12/08,BMW,BLU,0.00,METER VIOLATION,13TH AVE ALDER ST HILYAR,225-2,NO TIME ON METER
6/12/08,HOND,RED,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,226-6,NO TIME ON METER
6/12/08,TOYT,BLK,0.00,METER VIOLATION,KINCAID ST 13TH AVE END,240-54,NO TIME ON METER
6/12/08,VOLK,BEI,0.00,EXCESS OF POSTED TIME,13TH AVE PATTERSON ST FE,NA,CHALK MARK STILL VISIBLEVEH MUST LEA
6/12/08,HOND,BLU,0.00,TIME LIMIT ZONE,15TH AVE HILYARD ST PATT,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,FORD,WHT,0.00,EXCESS OF POSTED TIME,16TH AVE PATTERSON ST HI,NA,CHALK MARK STILL VISIBLEVEH MUST LEA
6/12/08,BMW,BLK,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,209-31,NO TIME ON METER
6/12/08,DODG,WHT,0.00,METER VIOLATION,ALDER ST 13TH AVE 11TH A,213-21,NO TIME ON METER
6/12/08,FORD,BLK,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,209-34,NO TIME ON METER
6/12/08,BMW,GRN,0.00,METER VIOLATION,KINCAID ST 11TH AVE 13TH,210-50,NO TIME ON METER
6/12/08,TOYT,GRN,0.00,TIME LIMIT ZONE,COLUMBIA ST 17TH AVE 19T,NA,VEH MUST LEAVE BLKCHALK MARK STILL V
6/12/08,HOND,GRN,0.00,TIME LIMIT ZONE,15TH AVE ORCHARD ST VILL,NA,2HRCHALK MARK STILL VISIBLE
6/12/08,TOYT,GRN,0.00,METER VIOLATION,18TH AVE ALDER ST UNIVER,272-30,NO TIME ON METER
6/12/08,HOND,GRY,0.00,METER VIOLATION,KINCAID ST END 15TH AVE,250-21,NO TIME ON METER
6/12/08,HOND,GRY,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,214-2,NO TIME ON METER
6/12/08,VOLK,BLK,0.00,TIME LIMIT ZONE,HILYARD ST BROADWAY ST 1,NA,1HRCHALK MARK STILL VISIBLE
6/12/08,VOLK,BLU,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,209-32,NO TIME ON METER
6/12/08,DODG,WHT,0.00,RESTRICTED BY SIGN,13TH AVE KINCAID ST ALDE,NA,COMMERCIAL MARKED VEHICLE ONLYNO COM
6/12/08,STRN,GRN,0.00,TIME LIMIT ZONE,18TH AVE UNIVERSITY ST P,NA,CHALK MARK STILL VISIBLE
6/12/08,AUDI,BLK,24.00,TIME LIMIT ZONE,POTTER ST 19TH AVE 20TH,NA,CHALK MARK STILL VISIBLE
6/12/08,SUBA,MAR,0.00,BIKE LANE,AGATE ST 20TH AVE 19TH A,NA,NO PARKING
6/12/08,FORD,BLU,24.00,METER VIOLATION,PATTERSON ST 13TH AVE 12,212 51,NO TIME ON METER
6/12/08,FORD,WHT,0.00,ON SIDEWALK,21ST AVE EMERALD ST ONYX,NA,BLOCKINGNO PARKING
6/12/08,SUBA,BLU,0.00,YELLOW ZONE,22ND AVE AGATE ST EMERAL,NA,ALL IN YELLOWNO PARKING
6/12/08,FORD,WHT,0.00,WRONG SIDE PARKING,14TH AVE ALDER ST KINCAI,NA,MUST PARK WITH FLOW OF TRAFFIC
6/12/08,ACUR,BLU,0.00,METER VIOLATION,KINCAID ST END 15TH AVE,250 20,NO TIME ON METER
6/12/08,NISS,WHT,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,226 9,NO TIME ON METER
6/12/08,DODG,WHT,0.00,METER VIOLATION,8TH AVE OAK ST PEARL ST,34-31,NO TIME ON METER
6/12/08,HOND,RED,30.00,RESTRICTED BY SIGN,ALLEY LOT 01,NA,COMMERCIAL MARKED VEHICLE ONLYNO COM
6/12/08,SUBA,RED,0.00,METER VIOLATION,CHARNELTON ST 10TH AVE 1,58-53,NO TIME ON METER
6/12/08,TOYT,WHT,0.00,METER VIOLATION,WILLAMETTE END 5TH AVE,18050,NO TIME ON METER
6/12/08,VOLK,BLK,0.00,METER VIOLATION,5TH AVE LAWRENCE ST LINC,12451,NO TIME ON METER
6/12/08,FORD,GRN,0.00,TIME LIMIT ZONE,10TH AVE LAWRENCE ST LIN,NA,CHALK MARK STILL VISIBLE
6/12/08,ISUZ,GRN,0.00,TIME LIMIT ZONE,LINCOLN ST 5TH AVE 4TH A,NA,CHALK MARK STILL VISIBLE
6/12/08,FORD,RED,0.00,TIME LIMIT ZONE,8TH AVE LAWRENCE ST LINC,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,TOYT,BLU,0.00,TIME LIMIT ZONE,BROADWAY ST LAWRENCE ST,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,ACUR,GRY,0.00,TIME LIMIT ZONE,12TH AVE CHARNELTON ST L,NA,CHALK MARK STILL VISIBLEVEH MUST LEA
6/12/08,NISS,GRY,0.00,TIME LIMIT ZONE,14TH AVE CHARNELTON ST O,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/12/08,DODG,MAR,0.00,WRONG SIDE PARKING,1470 LAWENCE ST.,NA,MUST PARK WITH FLOW OF TRAFFIC
6/12/08,GMC,SIL,0.00,HANDICAP,GREEN ACRES HOME DEPOT,NA,NO VISIBLE PERMIT
6/12/08,SUBA,WHT,0.00,RESTRICTED BY SIGN,LOT 07 - AIRPORT TERMINAL,NA,UNATTENDED VEHICLE
6/12/08,TOYT,SIL,0.00,RESTRICTED BY SIGN,LOT 07 - AIRPORT TERMINAL,NA,UNATTENDED VEHICLE
6/12/08,PONT,SIL,0.00,RESTRICTED BY SIGN,LOT 07 EUGENE AIRPORT,NA,UNATTENDED AT FRONT CURB
6/12/08,DODG,BLU,0.00,HANDICAP,COSTCO,NA,NO PERMIT - OWNER CAME OUT AND
6/12/08,VOLK,GRN,0.00,WRONG SIDE PARKING,1325 GOODPASTURE ISLAND ROAD,NA,PARKED FACING WEST BOUND ON
6/12/08,DODG,BLK,0.00,RESTRICTED BY SIGN,LOT 07 - EUGENE AIRPORT,NA,UNATTENDED AT FRONT CURB
6/12/08,TOYT,GRY,0.00,RESTRICTED BY SIGN,LOT 07 AIRPORT TERMINAL,NA,UNATTENDED VEHICLE
6/13/08,TOYT,GRY,0.00,TIME LIMIT ZONE,15TH - FERRY TO PATTERSON,NA,CHALK MARK STILL VISIBLE
6/13/08,CHEV,BEI,0.00,TIME LIMIT ZONE,PATTERSON ST. - 11TH AND 12TH,NA,CHALK MARK STILL VISIBLE
6/13/08,TOYT,WHT,0.00,TIME LIMIT ZONE,18TH AVE. - UNIV. TO ONYX ST.,NA,CHALK MARK STILL VISIBLE
6/13/08,FORD,WHT,0.00,METER VIOLATION,CHARNELTON ST 10TH AVE B,48-16,NO TIME ON METER
6/13/08,CHEV,WHT,0.00,METER VIOLATION,LOT 10,1,NO TIME ON METERSEE PD SP REPORT
6/13/08,TOYT,BLK,0.00,METER VIOLATION,11TH AVE CHARNELTON ST O,58-32,NO TIME ON METER
6/13/08,AUDI,GRY,0.00,TIME LIMIT ZONE,12TH AVE MILL ST HIGH ST,NA,CHALK MARK STILL VISIBLENO VALID PER
6/13/08,MAZD,BLK,0.00,TIME LIMIT ZONE,MILL ST 13TH AVE 12TH AV,NA,VEH MUST LEAVE BLKNO PERMIT VISIBLE
6/13/08,VOLK,BLK,0.00,TIME LIMIT ZONE,MILL ST 12TH AVE 13TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI
6/13/08,PLYM,RED,24.00,TIME LIMIT ZONE,12TH AVE FERRY ST MILL S,NA,CHALK MARK STILL VISIBLENO PERMIT VI
