Date,Make,Color,Amount.Due,Violation,Location,Meter,Officer.Comment,SanitizedLocation,lat,lon
6/12/08,TOYT,SIL,0.00,TIME LIMIT ZONE,FERRY ST 16TH AVE 15TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI,FERRY 16TH,44.0452933,-123.084937
6/12/08,SUBA,GRN,0.00,TIME LIMIT ZONE,FERRY ST 16TH AVE 15TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI,FERRY 16TH,44.0452933,-123.084937
6/12/08,HOND,WHT,24.00,TIME LIMIT ZONE,15TH AVE MILL ST FERRY S,NA,CHALK MARK STILL VISIBLE,15TH MILL,44.043051,-123.088771
6/12/08,BUIC,BUR,0.00,TIME LIMIT ZONE,14TH AVE MILL ST FERRY S,NA,CHALK MARK STILL VISIBLENO PERMIT VI,14TH MILL,44.0452933,-123.084937
6/12/08,VOLK,RED,0.00,TIME LIMIT ZONE,FERRY ST 15TH AVE 16TH A,NA,CHALK MARK STILL VISIBLENO PERMIT VI,FERRY 15TH,44.0452933,-123.084937
6/12/08,TOYT,BLU,0.00,TIME LIMIT ZONE,12TH AVE HIGH ST MILL ST,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/12/08,PLYM,BUR,0.00,TIME LIMIT ZONE,14TH AVE HIGH ST PEARL S,NA,CHALK MARK STILL VISIBLE,,,
6/12/08,SUBA,GRN,0.00,METER VIOLATION,8TH AVE OLIVE ST WILLAME,32 36,NO TIME ON METER,8TH OLIVE,44.05119029999999,-123.0944561
6/12/08,TOYT,BLU,0.00,METER VIOLATION,HIGH ST 5TH AVE 6TH AVE,18 47,NO TIME ON METER,,,
6/12/08,HOND,GRY,0.00,METER VIOLATION,EAST PARK-8,43 85,NO TIME ON METER,,,
6/12/08,CHEV,WHT,0.00,ON BRIDGE,3500BLKCOMMONS,NA,SIGN(s)POSTEDNO PARKING,,,
6/12/08,KIA,BLU,0.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17 5,NO TIME ON METER,5TH HIGH,44.0535416,-123.0878574
6/12/08,LEXS,GRY,0.00,METER VIOLATION,PEARL ST 5TH AVE 6TH AVE,17 49,NO TIME ON METER,PEARL 5TH,44.054605,-123.089331
