Year,actualGrowth,plannedGrowth
2007," 2,957 ", NA 
2008," 1,148 ", NA 
2009," 1,549 ", NA 
2010, 956 , NA 
2011, 614 , NA 
2012, 793 , NA 
2013," 1,211 "," 1,689 "
2014," 1,631 "," 1,689 "
2015," 2,370 "," 1,689 "
2016," 1,324 "," 1,689 "
2017," 1,466 "," 1,689 "
2018," 1,600 "," 1,689 "
2019," 1,678 "," 1,689 "
2020," 1,688 "," 1,689 "
2021," 1,551 "," 1,689 "
2022," 1,597 "," 1,689 "
2023," 1,623 "," 1,689 "
2024," 1,627 "," 1,689 "
2025," 1,617 "," 1,689 "
2026," 1,603 "," 1,689 "
2027," 1,613 "," 1,689 "
2028," 1,617 "," 1,689 "
2029," 1,615 "," 1,689 "
2030," 1,613 "," 1,689 "
2031," 1,612 "," 1,689 "
2032," 1,614 "," 1,689 "
