Year,Annual Total
Jan-01,"136,763"
Feb-01,"136,850"
Mar-01,"137,667"
Apr-01,"137,968"
May-01,"138,840"
Jun-01,"140,462"
Jul-01,"135,936"
Aug-01,"136,732"
Sep-01,"138,215"
Oct-01,"137,817"
Nov-01,"136,901"
Dec-01,"136,847"
Jan-02,"134,144"
Feb-02,"134,770"
Mar-02,"135,780"
Apr-02,"136,515"
May-02,"138,532"
Jun-02,"139,918"
Jul-02,"137,112"
Aug-02,"137,574"
Sep-02,"140,491"
Oct-02,"140,747"
Nov-02,"140,407"
Dec-02,"139,634"
Jan-03,"136,360"
Feb-03,"136,346"
Mar-03,"136,279"
Apr-03,"135,351"
May-03,"137,074"
Jun-03,"137,914"
Jul-03,"133,694"
Aug-03,"134,085"
Sep-03,"137,596"
Oct-03,"137,949"
Nov-03,"136,913"
Dec-03,"137,903"
Jan-04,"134,598"
Feb-04,"135,942"
Mar-04,"137,423"
Apr-04,"138,974"
May-04,"140,299"
Jun-04,"141,308"
Jul-04,"137,399"
Aug-04,"138,048"
Sep-04,"141,975"
Oct-04,"142,352"
Nov-04,"142,214"
Dec-04,"143,260"
Jan-05,"140,710"
Feb-05,"141,852"
Mar-05,"143,196"
Apr-05,"144,095"
May-05,"144,620"
Jun-05,"146,915"
Jul-05,"143,168"
Aug-05,"144,397"
Sep-05,"147,357"
Oct-05,"147,984"
Nov-05,"148,474"
Dec-05,"149,618"
Jan-06,"144,837"
Feb-06,"145,974"
Mar-06,"147,032"
Apr-06,"148,267"
May-06,"149,484"
Jun-06,"150,941"
Jul-06,"146,828"
Aug-06,"147,880"
Sep-06,"150,583"
Oct-06,"150,904"
Nov-06,"151,129"
Dec-06,"152,061"
Jan-07,"148,239"
Feb-07,"149,149"
Mar-07,"149,922"
Apr-07,"150,526"
May-07,"151,462"
Jun-07,"153,440"
Jul-07,"149,661"
Aug-07,"150,467"
Sep-07,"151,865"
Oct-07,"152,587"
Nov-07,"152,866"
Dec-07,"152,836"
Jan-08,"148,240"
Feb-08,"149,171"
Mar-08,"149,760"
Apr-08,"149,211"
May-08,"149,915"
Jun-08,"151,219"
Jul-08,"145,807"
Aug-08,"145,789"
Sep-08,"147,020"
Oct-08,"147,576"
Nov-08,"145,669"
Dec-08,"143,793"
Jan-09,"138,051"
Feb-09,"137,067"
Mar-09,"135,855"
Apr-09,"136,020"
May-09,"136,965"
Jun-09,"137,426"
Jul-09,"132,325"
Aug-09,"132,543"
Sep-09,"135,230"
Oct-09,"136,078"
Nov-09,"135,749"
Dec-09,"135,335"
Jan-10,"132,305"
Feb-10,"132,892"
Mar-10,"133,442"
Apr-10,"134,873"
May-10,"136,301"
Jun-10,"137,362"
Jul-10,"132,491"
Aug-10,"132,677"
Sep-10,"134,980"
Oct-10,"135,927"
Nov-10,"135,983"
Dec-10,"135,635"
Jan-11,"132,930"
Feb-11,"134,048"
Mar-11,"134,611"
Apr-11,"135,895"
May-11,"136,893"
Jun-11,"138,681"
Jul-11,"132,976"
Aug-11,"133,017"
Sep-11,"136,576"
Oct-11,"137,390"
Nov-11,"137,229"
Dec-11,"136,988"
Jan-12,"133,996"
Feb-12,"134,946"
Mar-12,"135,437"
Apr-12,"136,198"
May-12,"137,526"
Jun-12,"138,968"
Jul-12,"135,132"
Aug-12,"135,689"
Sep-12,"138,044"
Oct-12,"138,314"
Nov-12,"139,028"
Dec-12,"139,022"
Jan-13,"135,459"
Feb-13,"136,182"
Mar-13,"137,154"
Apr-13,"138,364"
May-13,"139,850"
Jun-13,"140,964"
Jul-13,"136,180"
Aug-13,"137,056"
Sep-13,"139,815"
Oct-13,"140,823"
Nov-13,"141,289"
Dec-13,"141,196"
Jan-14,"138,800"
Feb-14,"139,202"
Mar-14,"140,719"
Apr-14,"141,737"
May-14,"142,517"
Jun-14,"143,552"
Jul-14,"139,666"
Aug-14,"140,787"
Sep-14,"143,569"
Oct-14,"144,622"
Nov-14,"144,913"
Dec-14,"145,467"
Jan-15,"142,647"
Feb-15,"143,589"
Mar-15,"144,494"
Apr-15,"146,274"
May-15,"147,631"
Jun-15,"148,369"
Jul-15,"144,887"
Aug-15,"145,256"
Sep-15,"148,248"
Oct-15,"149,605"
Nov-15,"149,995"
Dec-15,"150,614"
Jan-16,"147,838"
Feb-16,"149,166"
Mar-16,"149,617"
Apr-16,"151,074"
May-16,"152,234"
Jun-16,"152,887"
Jul-16,"148,521"
Aug-16,"149,795"
Sep-16,"152,984"
